"id","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28"
"FOODS_3_001_TX_3_validation","1","1","7","1","1","1","2","3","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_002_TX_3_validation","1","4","3","3","2","4","3","1","1","1","5","4","2","2","3","2","3","1","2","2","4","2","3","3","1","2","1","1"
"FOODS_3_003_TX_3_validation","1","1","1","2","3","2","2","1","3","1","4","1","2","2","2","1","2","1","2","1","1","2","2","1","1","1","1","1"
"FOODS_3_004_TX_3_validation","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2"
"FOODS_3_005_TX_3_validation","2","2","2","2","2","1","2","1","2","1","3","4","3","3","2","1","2","1","1","3","2","2","2","3","1","2","3","1"
"FOODS_3_006_TX_3_validation","1","3","2","1","1","5","3","1","1","3","3","3","4","3","1","3","3","2","2","2","1","4","2","1","3","1","1","1"
"FOODS_3_007_TX_3_validation","58","1","15","56","37","56","37","15","1","2","26","13","37","19","1","3","15","51","1","1","1","1","1","15","1","1","1","1"
"FOODS_3_008_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","23","11"
"FOODS_3_009_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"FOODS_3_010_TX_3_validation","2","3","1","1","2","5","2","2","2","2","1","1","1","1","4","1","1","1","2","1","2","3","1","1","1","1","1","1"
"FOODS_3_011_TX_3_validation","1","4","2","2","1","1","1","1","1","1","1","5","1","1","1","2","2","1","2","1","1","1","1","2","1","3","2","1"
"FOODS_3_012_TX_3_validation","1","6","2","1","9","2","1","2","1","6","1","7","1","6","1","7","1","2","11","2","6","6","2","1","2","6","1","6"
"FOODS_3_013_TX_3_validation","2","1","2","2","2","1","4","3","1","1","1","2","1","3","1","1","3","4","2","1","1","2","2","1","2","3","4","2"
"FOODS_3_014_TX_3_validation","1","1","1","1","1","2","1","2","1","8","2","1","5","6","1","5","5","2","1","2","1","2","2","1","1","2","2","1"
"FOODS_3_015_TX_3_validation","15","15","1","1","1","1","1","2","17","1","1","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","2"
"FOODS_3_016_TX_3_validation","3","1","1","1","1","1","1","1","1","1","2","1","2","1","1","3","1","1","1","2","2","1","3","1","1","1","1","1"
"FOODS_3_017_TX_3_validation","1","2","1","1","1","1","2","1","1","1","2","1","1","1","1","1","1","3","1","1","1","1","1","1","2","1","1","1"
"FOODS_3_018_TX_3_validation","2","3","1","2","1","1","1","3","2","3","1","1","1","2","2","3","3","1","1","1","1","2","1","1","1","1","1","1"
"FOODS_3_019_TX_3_validation","1","1","1","3","1","2","1","1","1","1","1","1","1","3","2","3","1","1","1","1","1","1","1","1","1","2","2","1"
"FOODS_3_020_TX_3_validation","12","1","2","15","1","1","16","2","12","1","2","17","1","1","15","2","1","1","1","1","2","12","21","1","12","1","1","2"
"FOODS_3_021_TX_3_validation","2","1","1","13","1","2","17","15","13","12","12","1","1","14","14","2","15","1","2","2","1","12","12","13","1","1","1","1"
"FOODS_3_022_TX_3_validation","1","1","1","2","1","1","2","1","2","2","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_023_TX_3_validation","3","3","1","1","4","1","2","3","2","2","2","3","1","4","2","3","1","2","2","1","3","1","3","2","1","2","1","1"
"FOODS_3_024_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_025_TX_3_validation","1","2","2","1","1","1","2","1","3","2","2","1","1","1","1","1","1","2","2","2","3","2","2","4","2","3","2","3"
"FOODS_3_026_TX_3_validation","3","2","3","1","1","1","2","1","1","1","1","1","2","3","2","3","1","2","8","5","2","1","2","1","1","3","3","3"
"FOODS_3_027_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_028_TX_3_validation","2","3","3","1","1","3","1","2","3","4","2","5","1","4","1","1","2","3","3","1","1","6","2","2","2","3","2","1"
"FOODS_3_029_TX_3_validation","1","2","2","1","1","2","2","10","1","1","10","1","1","12","2","1","10","10","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_030_TX_3_validation","67","26","53","55","33","65","68","65","124","46","59","3","124","11","64","19","19","26","74","48","58","46","42","19","42","124","33","48"
"FOODS_3_031_TX_3_validation","1","3","1","1","1","1","2","3","1","1","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1"
"FOODS_3_032_TX_3_validation","3","3","1","1","1","1","2","3","2","1","2","3","2","1","4","2","3","3","4","2","1","2","1","2","2","1","3","2"
"FOODS_3_033_TX_3_validation","2","1","1","2","1","1","3","2","2","1","1","1","1","2","2","3","1","2","1","2","2","2","1","1","1","1","2","1"
"FOODS_3_034_TX_3_validation","3","1","2","2","2","3","3","1","1","4","1","3","1","4","2","1","3","2","3","1","3","1","2","1","1","1","3","2"
"FOODS_3_035_TX_3_validation","2","2","1","2","2","4","5","1","1","1","2","1","1","4","2","4","2","4","1","2","1","2","1","2","2","1","1","1"
"FOODS_3_036_TX_3_validation","1","1","1","1","2","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_037_TX_3_validation","4","2","2","2","2","1","5","4","4","2","1","2","2","2","1","2","2","1","4","2","1","2","5","2","2","2","1","4"
"FOODS_3_038_TX_3_validation","1","1","1","2","1","1","1","1","1","2","3","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"FOODS_3_039_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"FOODS_3_040_TX_3_validation","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","2","1","2","1","1","2","2","1","1","1","1","1","1"
"FOODS_3_041_TX_3_validation","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
